timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920244257
2,0,6,2,4,76,3,1,0,0.920213459
3,0,8,2,6,74,5,1,0,0.920252875
4,0,10,2,8,72,6,2,0,0.920256921
5,0,12,2,10,70,7,3,0,0.920253807
6,0,14,2,12,68,6,6,0,0.920259622
7,0,16,2,14,66,8,6,0,0.920255173
8,0,18,2,16,64,7,9,0,0.920267809
9,0,20,2,18,62,9,9,0,0.920275607
10,0,22,2,20,60,10,10,0,0.920274145
11,0,24,2,22,58,11,11,0,0.920249264
12,0,26,2,24,56,10,14,0,0.920294894
13,0,28,2,26,54,11,15,2,0.920262535
14,0,30,2,28,52,13,15,2,0.920294745
15,1,31,2,29,51,11,18,2,0.920281268
16,1,33,2,31,49,10,21,3,0.920284394
17,1,35,2,33,47,9,24,3,0.92032909
18,2,36,2,34,46,11,23,3,0.920278843
19,2,38,2,36,44,11,25,3,0.920288356
20,2,40,2,38,42,12,26,4,0.920265702
21,2,42,2,40,40,13,27,5,0.920283716
22,3,43,2,41,39,12,29,5,0.920331046
23,4,44,2,42,38,13,29,5,0.920274095
24,6,44,2,42,38,14,28,5,0.920301252
25,6,46,2,44,36,10,34,5,0.920295654
26,6,48,2,46,34,12,34,5,0.92027177
27,6,50,2,48,32,11,37,5,0.920287766
28,6,52,2,50,30,11,39,5,0.920295434
29,8,52,2,50,30,12,38,8,0.920249029
30,9,53,2,51,29,9,42,8,0.920260879
31,12,52,2,50,30,9,41,8,0.920294297
32,14,52,2,50,30,9,41,8,0.920312201
33,16,52,2,50,30,9,41,8,0.920321426
34,20,50,2,48,32,8,40,8,0.920257271
35,21,51,2,49,31,8,41,8,0.920323707
36,21,53,2,51,29,6,45,10,0.920329137
37,22,54,2,52,28,7,45,12,0.920291806
38,24,54,2,52,28,6,46,13,0.920302146
39,26,54,2,52,28,7,45,14,0.920259413
40,27,55,2,53,27,6,47,17,0.920281856
41,29,55,2,53,27,7,46,17,0.920312104
42,31,55,2,53,27,7,46,17,0.920311747
43,34,54,2,52,28,9,43,20,0.920336898
44,37,53,2,51,29,10,41,20,0.920301404
45,37,55,2,53,27,9,44,22,0.920319764
46,41,53,2,51,29,11,40,23,0.920306995
47,41,55,2,53,27,11,42,24,0.920298904
48,41,57,2,55,25,11,44,27,0.920268544
49,42,58,2,56,24,8,48,27,0.920316435
50,44,58,2,56,24,9,47,29,0.920332878
51,48,56,2,54,26,8,46,29,0.920312664
52,48,58,2,56,24,7,49,29,0.920299207
53,48,60,2,58,22,8,50,32,0.920346966
54,51,59,2,57,23,10,47,36,0.920291178
55,55,57,2,55,25,11,44,36,0.920308065
56,57,57,2,55,25,10,45,38,0.920245993
57,58,58,2,56,24,10,46,38,0.920260655
58,58,60,2,58,22,9,49,38,0.92030268
59,61,59,2,57,23,9,48,38,0.920271355
60,65,57,2,55,25,10,45,39,0.920316955
61,65,59,2,57,23,11,46,40,0.92028367
62,67,59,2,57,23,9,48,43,0.920246497
63,72,56,2,54,26,9,45,43,0.920297671
64,77,53,2,51,29,7,44,45,0.920298415
65,79,53,2,51,29,6,45,47,0.920267125
66,80,54,2,52,28,7,45,47,0.920231877
67,82,54,2,52,28,6,46,49,0.92027657
68,86,52,2,50,30,8,42,49,0.920268771
69,87,53,2,51,29,7,44,50,0.920251245
70,89,53,2,51,29,8,43,52,0.920297047
71,90,54,2,52,28,9,43,53,0.920291982
72,91,55,2,53,27,9,44,53,0.920319827
73,95,53,2,51,29,9,42,54,0.920293901
74,97,53,2,51,29,8,43,55,0.92028997
75,100,52,2,50,30,8,42,55,0.92026172
76,103,51,2,49,31,7,42,55,0.920243311
77,106,50,2,48,32,7,41,56,0.920280019
78,107,51,2,49,31,8,41,58,0.920262582
79,112,48,2,46,34,7,39,58,0.920279003
80,112,50,2,48,32,8,40,58,0.920301184
81,112,52,2,50,30,8,42,60,0.920332465
82,113,53,2,51,29,7,44,63,0.92032887
83,116,52,2,50,30,8,42,63,0.920312761
84,119,51,2,49,31,8,41,64,0.920300053
85,121,51,2,49,31,8,41,64,0.920318716
86,123,51,2,49,31,9,40,65,0.920277768
