task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,43,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,18,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,5,33,0,0,3,28,3,28,0,1,4,32,1.000000
4,2,3,11,23,14,0,8,12,8,12,0,1,9,21,1.000000
5,2,3,3,24,17,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,15,34,1,1,8,19,11,19,0,1,12,31,1.000000
7,3,4,15,42,36,0,11,25,11,27,0,1,12,39,1.080000
8,4,5,15,34,3,1,13,19,10,19,0,1,11,30,1.000000
9,4,5,9,26,10,0,4,16,4,16,1,1,5,22,1.000000
10,5,6,13,26,29,0,7,13,7,13,0,1,8,21,1.000000
11,5,6,13,17,48,1,5,4,7,4,0,1,8,12,1.000000
12,6,7,10,44,48,0,3,27,3,33,1,1,4,38,1.222222
13,6,7,8,35,31,0,1,27,1,27,0,1,2,29,1.000000
14,7,8,21,40,38,0,11,12,13,18,1,1,14,33,1.500000
15,7,8,9,32,6,0,1,21,1,23,0,1,2,25,1.095238
16,8,9,17,29,15,1,9,12,8,12,0,1,9,21,1.000000
17,8,9,22,26,25,1,9,4,12,4,1,1,14,18,1.000000
18,9,10,24,43,5,1,7,16,14,18,1,1,15,34,1.125000
19,9,10,16,30,21,1,9,14,6,14,0,1,7,21,1.000000
20,10,11,21,47,32,2,10,26,10,26,0,1,11,37,1.000000
21,10,11,14,28,16,1,8,12,3,14,0,1,4,18,1.166667
22,11,12,17,38,7,0,5,21,5,21,0,1,6,27,1.000000
23,11,12,15,44,44,0,3,28,3,28,1,1,4,33,1.000000
24,12,13,30,35,45,0,14,5,16,5,1,1,18,23,1.000000
25,12,13,19,52,47,0,6,29,6,33,0,1,7,40,1.137931
26,13,14,19,49,2,1,12,30,5,30,0,1,6,36,1.000000
27,13,14,29,48,28,3,13,12,15,16,3,1,16,35,1.333333
28,14,15,23,35,22,0,8,12,8,12,0,1,9,21,1.000000
29,14,15,15,24,49,0,0,9,0,9,0,1,1,10,1.000000
30,15,16,18,51,34,0,2,31,2,33,0,1,3,36,1.064516
31,15,16,28,44,28,1,11,15,11,15,2,1,13,29,1.000000
32,16,17,20,32,26,0,3,12,3,12,0,1,4,16,1.000000
33,16,17,20,46,18,0,3,20,3,26,0,1,4,30,1.300000
34,17,18,25,61,12,0,7,34,7,36,0,1,8,44,1.058824
35,17,18,25,29,41,0,7,4,7,4,0,1,8,12,1.000000
36,18,19,29,58,4,0,10,23,10,29,0,1,11,40,1.260870
37,18,19,32,47,37,6,16,14,12,14,2,1,14,29,1.000000
38,19,20,23,44,46,0,3,18,3,18,3,1,4,25,1.000000
39,19,20,33,68,13,1,9,25,13,35,0,1,14,49,1.400000
40,20,21,37,64,20,3,15,21,16,27,0,1,17,44,1.285714
41,20,21,31,52,37,0,10,21,10,21,0,1,11,32,1.000000
42,21,22,58,87,9,12,23,20,25,28,2,1,37,66,1.400000
43,21,22,22,60,30,0,0,36,0,38,0,1,1,39,1.055556
44,22,23,28,45,16,1,9,17,5,17,0,1,6,23,1.000000
45,22,23,32,57,8,1,18,23,7,25,2,1,10,35,1.086957
46,23,24,34,38,19,2,14,4,10,4,0,1,11,15,1.000000
47,23,24,30,42,23,0,6,12,6,12,0,1,7,19,1.000000
48,24,25,30,47,39,4,9,17,5,17,0,1,6,23,1.000000
49,24,25,30,38,19,0,5,8,5,8,0,1,6,14,1.000000
50,25,26,28,43,9,1,8,15,2,15,0,1,3,18,1.000000
51,25,26,32,75,24,0,6,41,6,43,0,1,7,50,1.048780
52,26,27,38,65,27,5,10,23,10,27,1,1,12,39,1.173913
53,26,27,27,64,8,0,0,33,0,35,2,1,1,38,1.060606
54,27,28,36,50,39,1,5,14,8,14,0,1,9,23,1.000000
55,27,28,28,46,29,0,0,18,0,18,0,1,1,19,1.000000
56,28,29,54,76,9,7,10,21,17,21,1,1,26,48,1.000000
57,28,29,36,70,27,0,7,32,7,34,0,1,8,42,1.062500
58,29,30,41,53,10,1,8,12,11,12,0,1,12,24,1.000000
59,29,30,31,63,42,0,1,32,1,32,0,1,2,34,1.000000
60,30,31,32,43,39,0,1,11,1,11,0,1,2,13,1.000000
61,30,31,33,54,49,2,2,19,2,21,0,1,3,24,1.105263
62,31,32,34,54,35,1,11,19,2,19,1,1,3,23,1.000000
63,31,32,43,56,9,1,5,13,7,13,4,1,12,25,1.000000
64,32,33,45,49,40,5,12,4,12,4,0,1,13,17,1.000000
65,32,33,33,53,11,0,0,20,0,20,0,1,1,21,1.000000
66,33,34,41,59,9,1,3,17,4,17,4,1,8,26,1.000000
67,33,34,39,54,21,0,5,15,5,15,0,1,6,21,1.000000
68,34,35,40,66,1,0,5,17,5,25,1,1,6,32,1.470588
69,34,35,40,61,26,1,4,21,5,21,0,1,6,27,1.000000
70,35,36,40,71,10,0,4,27,4,31,0,1,5,36,1.148148
71,35,36,49,56,40,3,24,7,12,7,1,1,14,21,1.000000
72,36,37,62,93,35,0,13,29,12,31,0,1,26,57,1.068966
73,36,39,45,62,7,1,9,17,6,17,0,3,9,26,1.000000
74,37,38,40,69,35,0,2,29,2,29,0,1,3,32,1.000000
75,37,38,89,95,31,1,9,6,5,6,0,1,52,58,1.000000
