timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920184462
2,0,6,2,4,76,3,1,0,0.920236669
3,0,8,2,6,74,5,1,0,0.920231976
4,0,10,2,8,72,6,2,0,0.920244497
5,0,12,2,10,70,7,3,0,0.920247294
6,0,14,2,12,68,6,6,0,0.920238037
7,0,16,2,14,66,8,6,0,0.920208331
8,0,18,2,16,64,7,9,0,0.920236441
9,0,20,2,18,62,9,9,0,0.92023523
10,0,22,2,20,60,10,10,0,0.920244985
11,0,24,2,22,58,11,11,0,0.920244351
12,0,26,2,24,56,10,14,0,0.920256872
13,0,28,2,26,54,11,15,1,0.920259304
14,0,30,2,28,52,12,16,1,0.920258945
15,1,31,2,29,51,11,18,1,0.920293533
16,1,33,2,31,49,11,20,1,0.920290411
17,1,35,2,33,47,9,24,1,0.920284492
18,2,36,2,34,46,10,24,1,0.920225662
19,2,38,2,36,44,8,28,1,0.920225886
20,2,40,2,38,42,10,28,2,0.920276818
21,2,42,2,40,40,12,28,2,0.920300999
22,3,43,2,41,39,11,30,2,0.920242891
23,4,44,2,42,38,13,29,2,0.920258299
24,6,44,2,42,38,14,28,2,0.920241628
25,6,46,2,44,36,10,34,2,0.920277961
26,6,48,2,46,34,12,34,2,0.920270102
27,6,50,2,48,32,11,37,2,0.92023979
28,6,52,2,50,30,12,38,4,0.92023512
29,7,53,2,51,29,11,40,4,0.920270461
30,8,54,2,52,28,11,41,6,0.920216715
31,10,54,2,52,28,11,41,8,0.920299342
32,12,54,2,52,28,11,41,9,0.920283733
33,13,55,2,53,27,11,42,9,0.920276456
34,17,53,2,51,29,10,41,10,0.920243458
35,19,53,2,51,29,9,42,10,0.920278643
36,20,54,2,52,28,7,45,10,0.920263207
37,20,56,2,54,26,8,46,12,0.920250801
38,22,56,2,54,26,8,46,12,0.920281498
39,26,54,2,52,28,7,45,12,0.920298165
40,27,55,2,53,27,8,45,13,0.920301754
41,30,54,2,52,28,7,45,13,0.920249629
42,31,55,2,53,27,6,47,13,0.920331717
43,34,54,2,52,28,8,44,13,0.92029323
44,35,55,2,53,27,10,43,14,0.920289769
45,37,55,2,53,27,10,43,15,0.920261896
46,41,53,2,51,29,10,41,15,0.920314184
47,44,52,2,50,30,10,40,16,0.920284944
48,47,51,2,49,31,10,39,19,0.920295143
49,47,53,2,51,29,10,41,21,0.920283555
50,47,55,2,53,27,9,44,22,0.920305872
51,49,55,2,53,27,9,44,23,0.920314879
52,51,55,2,53,27,10,43,24,0.920292368
53,52,56,2,54,26,9,45,25,0.92029906
54,52,58,2,56,24,7,49,25,0.920280478
55,52,60,2,58,22,7,51,26,0.920250417
56,55,59,2,57,23,8,49,27,0.920266912
57,58,58,2,56,24,9,47,27,0.92026238
58,59,59,2,57,23,10,47,27,0.920251008
59,63,57,2,55,25,9,46,28,0.92027671
60,63,59,2,57,23,8,49,31,0.92028725
61,64,60,2,58,22,7,51,32,0.920275144
62,64,62,2,60,20,6,54,34,0.920295038
63,66,62,2,60,20,7,53,37,0.920246915
64,70,60,2,58,22,7,51,37,0.92020886
65,71,61,2,59,21,9,50,39,0.920272455
66,77,57,2,55,25,9,46,41,0.920248313
67,79,57,2,55,25,10,45,42,0.920265666
68,80,58,2,56,24,11,45,42,0.920264659
69,85,55,2,53,27,12,41,43,0.920292029
70,88,54,2,52,28,10,42,43,0.920268051
71,91,53,2,51,29,11,40,44,0.920297703
72,94,52,2,50,30,12,38,45,0.920269525
73,96,52,2,50,30,12,38,45,0.920275418
74,99,51,2,49,31,10,39,45,0.920268452
75,103,49,2,47,33,8,39,46,0.920233952
76,105,49,2,47,33,8,39,46,0.920282573
77,107,49,2,47,33,8,39,47,0.920275858
78,108,50,2,48,32,6,42,48,0.920270105
79,109,51,2,49,31,7,42,48,0.920296358
80,109,53,2,51,29,8,43,48,0.920281142
81,109,55,2,53,27,9,44,49,0.920251632
82,114,52,2,50,30,9,41,49,0.920246464
83,115,53,2,51,29,9,42,51,0.920263345
84,118,52,2,50,30,9,41,52,0.920322593
85,120,52,2,50,30,6,44,53,0.920276276
86,123,51,2,49,31,6,43,56,0.920275102
87,126,50,2,48,32,4,44,56,0.920270593
88,127,51,2,49,31,5,44,58,0.920269033
89,132,48,2,46,34,4,42,58,0.920304329
90,134,48,2,46,34,4,42,58,0.920293365
91,135,49,2,47,33,3,44,59,0.920201328
92,137,49,2,47,33,4,43,59,0.920297849
93,139,49,2,47,33,5,42,60,0.920306589
94,141,49,2,47,33,6,41,62,0.920281093
95,143,49,2,47,33,5,42,63,0.920285488
96,143,51,2,49,31,6,43,63,0.920227747
97,144,52,2,50,30,8,42,64,0.920268983
98,147,51,2,49,31,7,42,65,0.920272895
99,149,51,2,49,31,8,41,66,0.920247972
100,153,49,2,47,33,5,42,67,0.920239138
101,153,51,2,49,31,6,43,68,0.920290652
102,154,52,2,50,30,4,46,68,0.920245245
103,156,52,2,50,30,6,44,70,0.920265579
104,159,51,2,49,31,4,45,70,0.920281451
105,163,49,2,47,33,2,45,70,0.920262349
106,165,49,2,47,33,3,44,70,0.920279218
107,167,49,2,47,33,5,42,74,0.920291902
108,169,49,2,47,33,6,41,77,0.920181077
109,172,48,2,46,34,5,41,77,0.920270282
110,176,46,2,44,36,3,41,79,0.920272129
111,177,47,2,45,35,4,41,81,0.920293679
112,177,49,2,47,33,6,41,84,0.920234033
113,180,48,2,46,34,7,39,85,0.920269436
114,183,47,2,45,35,6,39,85,0.920272696
115,184,48,2,46,34,6,40,85,0.920312736
116,186,48,2,46,34,7,39,85,0.920289546
117,188,48,2,46,34,6,40,85,0.920258233
118,190,48,2,46,34,4,42,85,0.92025923
119,192,48,2,46,34,4,42,86,0.920295965
120,193,49,2,47,33,5,42,86,0.92025854
121,195,49,2,47,33,4,43,86,0.920288231
122,198,48,2,46,34,4,42,87,0.920274916
123,200,48,2,46,34,4,42,88,0.920292339
124,202,48,2,46,34,5,41,88,0.920269159
125,203,49,2,47,33,6,41,89,0.920246725
126,205,49,2,47,33,6,41,90,0.920258132
127,208,48,2,46,34,6,40,90,0.920260089
128,208,50,2,48,32,7,41,90,0.920270347
129,212,48,2,46,34,7,39,91,0.920263552
130,214,48,2,46,34,8,38,91,0.920251101
131,215,49,2,47,33,7,40,91,0.920212638
132,216,50,2,48,32,6,42,92,0.920256359
133,217,51,2,49,31,7,42,92,0.920238747
134,222,48,2,46,34,9,37,93,0.920241527
135,225,47,2,45,35,4,41,93,0.920274696
136,227,47,2,45,35,1,44,93,0.920264357
137,230,46,2,44,36,3,41,93,0.92026245
138,236,42,2,40,40,5,35,93,0.920274267
139,240,40,2,38,42,5,33,93,0.920230364
140,241,41,2,39,41,6,33,94,0.920236988
141,243,41,2,39,41,5,34,94,0.920272783
142,243,43,2,41,39,4,37,95,0.920277064
143,248,40,2,38,42,4,34,95,0.920249631
144,249,41,2,39,41,5,34,96,0.920251925
145,251,41,2,39,41,5,34,96,0.920249515
146,252,42,2,40,40,5,35,96,0.920245851
147,255,41,2,39,41,5,34,97,0.920269718
148,255,43,2,41,39,4,37,101,0.92026978
149,260,40,2,38,42,4,34,101,0.920258093
150,262,40,2,38,42,6,32,101,0.920307056
151,262,42,2,40,40,7,33,103,0.920272946
152,265,41,2,39,41,7,32,105,0.920215858
153,265,43,2,41,39,7,34,105,0.920262645
154,267,43,2,41,39,7,34,106,0.920296932
155,269,43,2,41,39,7,34,106,0.920228613
156,271,43,2,41,39,7,34,106,0.920288997
157,271,45,2,43,37,6,37,106,0.920240855
158,274,44,2,42,38,8,34,108,0.920268096
159,276,44,2,42,38,7,35,108,0.920270534
160,276,46,2,44,36,8,36,108,0.920259043
161,280,44,2,42,38,9,33,109,0.920279805
162,281,45,2,43,37,7,36,109,0.92028619
163,282,46,2,44,36,8,36,110,0.920297209
164,283,47,2,45,35,8,37,111,0.920275685
165,284,48,2,46,34,8,38,112,0.920270906
166,286,48,2,46,34,8,38,113,0.920232949
167,286,50,2,48,32,8,40,114,0.920184208
168,286,52,2,50,30,7,43,115,0.92022091
169,288,52,2,50,30,8,42,115,0.920279843
170,289,53,2,51,29,8,43,115,0.920238507
171,293,51,2,49,31,9,40,116,0.920229282
172,294,52,2,50,30,10,40,116,0.920271631
173,295,53,2,51,29,10,41,117,0.920273565
174,297,53,2,51,29,10,41,118,0.920231762
175,297,55,2,53,27,10,43,119,0.920259338
176,298,56,2,54,26,10,44,121,0.920196074
177,302,54,2,52,28,9,43,121,0.920229587
178,302,56,2,54,26,9,45,125,0.920275211
179,303,57,2,55,25,8,47,125,0.920296877
180,304,58,2,56,24,8,48,126,0.920231745
181,304,60,2,58,22,10,48,128,0.920278842
182,305,61,2,59,21,10,49,129,0.920269839
183,305,63,2,61,19,11,50,131,0.92027743
184,309,61,2,59,21,10,49,134,0.920231492
185,309,63,2,61,19,10,51,134,0.920212936
186,313,61,2,59,21,8,51,135,0.920261287
187,314,62,2,60,20,7,53,135,0.920266608
188,317,61,2,59,21,8,51,138,0.920210881
189,320,60,2,58,22,10,48,138,0.920248896
190,321,61,2,59,21,11,48,140,0.920240357
191,324,60,2,58,22,10,48,143,0.920265974
192,328,58,2,56,24,8,48,144,0.920263363
193,331,57,2,55,25,8,47,145,0.920229013
194,334,56,2,54,26,8,46,148,0.920250477
195,339,53,2,51,29,5,46,148,0.920286632
196,340,54,2,52,28,5,47,148,0.920285249
197,344,52,2,50,30,6,44,148,0.92026116
198,347,51,2,49,31,7,42,151,0.920281455
199,348,52,2,50,30,7,43,152,0.920259165
200,350,52,2,50,30,8,42,154,0.920288225
201,352,52,2,50,30,8,42,155,0.920298705
202,357,49,2,47,33,8,39,157,0.920346635
203,357,51,2,49,31,6,43,157,0.92021702
204,360,50,2,48,32,6,42,158,0.920239423
205,361,51,2,49,31,5,44,158,0.920247275
206,362,52,2,50,30,4,46,159,0.920258145
207,365,51,2,49,31,4,45,160,0.920237051
208,370,48,2,46,34,5,41,161,0.920273685
209,373,47,2,45,35,6,39,162,0.920217772
210,374,48,2,46,34,6,40,162,0.920284563
211,375,49,2,47,33,7,40,163,0.920268957
212,379,47,2,45,35,8,37,166,0.920233974
213,381,47,2,45,35,8,37,167,0.920264114
214,383,47,2,45,35,10,35,167,0.920269901
215,384,48,2,46,34,9,37,168,0.920262711
216,387,47,2,45,35,5,40,168,0.920260489
217,388,48,2,46,34,4,42,168,0.920286559
218,389,49,2,47,33,2,45,168,0.920272353
219,389,51,2,49,31,4,45,168,0.920261261
220,389,53,2,51,29,5,46,168,0.920290982
221,391,53,2,51,29,5,46,169,0.92022092
222,392,54,2,52,28,5,47,172,0.92027693
223,394,54,2,52,28,5,47,173,0.92024161
224,397,53,2,51,29,6,45,176,0.920252244
225,398,54,2,52,28,6,46,178,0.920253495
226,399,55,2,53,27,6,47,179,0.920255212
227,401,55,2,53,27,5,48,180,0.920272118
