timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920216889
2,0,6,2,4,76,3,1,0,0.920251549
3,0,8,2,6,74,5,1,0,0.920263031
4,0,10,2,8,72,7,1,0,0.920215018
5,0,12,2,10,70,8,2,0,0.920202651
6,0,14,2,12,68,10,2,0,0.920219265
7,0,16,2,14,66,10,4,0,0.920234394
8,0,18,2,16,64,9,7,0,0.920223871
9,1,19,2,17,63,8,9,0,0.920206296
10,1,21,2,19,61,7,12,0,0.920234739
11,1,23,2,21,59,8,13,0,0.920256456
12,1,25,2,23,57,7,16,0,0.920254975
13,1,27,2,25,55,7,18,1,0.920230954
14,1,29,2,27,53,8,19,1,0.920227942
15,1,31,2,29,51,10,19,2,0.92029073
16,2,32,2,30,50,10,20,3,0.920292426
17,2,34,2,32,48,8,24,4,0.920218178
18,3,35,2,33,47,8,25,4,0.920257359
19,5,35,2,33,47,10,23,4,0.920259621
20,8,34,2,32,48,11,21,4,0.920248396
21,9,35,2,33,47,13,20,6,0.920208952
22,9,37,2,35,45,14,21,6,0.92023015
23,11,37,2,35,45,15,20,6,0.920286813
24,11,39,2,37,43,15,22,6,0.920232708
25,11,41,2,39,41,16,23,6,0.920283328
26,13,41,2,39,41,17,22,7,0.920203469
27,14,42,2,40,40,17,23,7,0.920238035
28,15,43,2,41,39,16,25,8,0.920217001
29,16,44,2,42,38,16,26,8,0.920274675
30,18,44,2,42,38,15,27,8,0.920292758
31,18,46,2,44,36,16,28,9,0.920243243
32,23,43,2,41,39,16,25,9,0.920300803
33,24,44,2,42,38,16,26,9,0.920265574
34,24,46,2,44,36,15,29,9,0.92030391
35,25,47,2,45,35,13,32,10,0.920225063
36,26,48,2,46,34,13,33,11,0.920226335
37,29,47,2,45,35,12,33,12,0.920221335
38,31,47,2,45,35,11,34,12,0.920294333
39,33,47,2,45,35,10,35,12,0.920253671
40,34,48,2,46,34,7,39,12,0.920256656
41,34,50,2,48,32,8,40,12,0.920251135
42,36,50,2,48,32,8,40,14,0.920258748
43,37,51,2,49,31,7,42,14,0.920277841
44,39,51,2,49,31,6,43,15,0.920212515
45,43,49,2,47,33,6,41,15,0.920284935
46,44,50,2,48,32,6,42,15,0.92033463
47,45,51,2,49,31,7,42,16,0.920291198
48,46,52,2,50,30,7,43,17,0.920301802
49,47,53,2,51,29,9,42,17,0.920268426
50,47,55,2,53,27,11,42,17,0.920302919
51,48,56,2,54,26,12,42,20,0.920287156
52,49,57,2,55,25,12,43,23,0.920295272
53,53,55,2,53,27,12,41,24,0.920268301
54,56,54,2,52,28,12,40,25,0.920269448
55,59,53,2,51,29,13,38,26,0.920315178
56,60,54,2,52,28,12,40,26,0.92027548
57,63,53,2,51,29,13,38,27,0.92028985
58,66,52,2,50,30,11,39,29,0.920251648
59,72,48,2,46,34,9,37,30,0.920322624
60,74,48,2,46,34,6,40,32,0.920294588
61,76,48,2,46,34,8,38,32,0.92030576
62,82,44,2,42,38,9,33,32,0.920260357
63,83,45,2,43,37,8,35,33,0.92023235
64,85,45,2,43,37,7,36,34,0.920260554
65,85,47,2,45,35,5,40,34,0.920261224
66,85,49,2,47,33,6,41,35,0.920259167
67,88,48,2,46,34,7,39,38,0.920329193
68,92,46,2,44,36,9,35,38,0.920310128
69,94,46,2,44,36,6,38,38,0.92031808
70,95,47,2,45,35,7,38,38,0.920337646
71,95,49,2,47,33,6,41,38,0.920275847
