timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920382303
2,0,6,2,4,76,4,0,0,0.920507237
3,0,8,2,6,74,4,2,0,0.920735953
4,0,10,2,8,72,6,2,0,0.920700286
5,0,12,2,10,70,6,4,0,0.9209003
6,0,14,2,12,68,6,6,0,0.920834933
7,0,16,2,14,66,6,8,0,0.920818687
8,0,18,2,16,64,8,8,0,0.920819723
9,0,20,2,18,62,9,9,1,0.920993248
10,0,22,2,20,60,8,12,1,0.921040738
11,0,24,2,22,58,9,13,1,0.920949895
12,0,26,2,24,56,10,14,1,0.921100782
13,0,28,2,26,54,12,14,1,0.921074983
14,0,30,2,28,52,11,17,1,0.920192622
15,1,31,2,29,51,10,19,1,0.921094436
16,2,32,2,30,50,11,19,2,0.921037132
17,2,34,2,32,48,11,21,2,0.921008744
18,3,35,2,33,47,12,21,2,0.921041637
19,5,35,2,33,47,13,20,3,0.921091248
20,5,37,2,35,45,8,27,3,0.920156185
21,7,37,2,35,45,9,26,3,0.920784868
22,8,38,2,36,44,8,28,3,0.920887047
23,8,40,2,38,42,9,29,3,0.920763387
24,9,41,2,39,41,9,30,4,0.920904033
25,10,42,2,40,40,10,30,4,0.920889145
26,11,43,2,41,39,10,31,4,0.920943962
27,12,44,2,42,38,9,33,4,0.920939187
28,14,44,2,42,38,9,33,4,0.920858682
29,16,44,2,42,38,10,32,4,0.920839327
30,17,45,2,43,37,10,33,5,0.920871755
31,19,45,2,43,37,11,32,5,0.920918178
32,23,43,2,41,39,12,29,5,0.920977099
33,24,44,2,42,38,10,32,6,0.921059436
34,25,45,2,43,37,10,33,7,0.920941043
35,27,45,2,43,37,12,31,9,0.920985034
36,28,46,2,44,36,11,33,9,0.9210505
37,30,46,2,44,36,10,34,9,0.920962656
38,32,46,2,44,36,10,34,11,0.920865122
39,35,45,2,43,37,9,34,11,0.920920167
40,39,43,2,41,39,9,32,11,0.920843763
41,41,43,2,41,39,10,31,13,0.92081661
42,41,45,2,43,37,9,34,14,0.920935341
43,43,45,2,43,37,9,34,17,0.920862637
44,44,46,2,44,36,11,33,17,0.920831313
45,44,48,2,46,34,8,38,17,0.920954985
46,45,49,2,47,33,9,38,17,0.920754659
47,46,50,2,48,32,9,39,17,0.920756625
48,50,48,2,46,34,9,37,18,0.920726842
49,51,49,2,47,33,9,38,20,0.920794714
50,51,51,2,49,31,10,39,21,0.920844868
51,52,52,2,50,30,9,41,22,0.920833673
52,54,52,2,50,30,9,41,23,0.920743927
53,55,53,2,51,29,7,44,26,0.920745638
54,58,52,2,50,30,7,43,29,0.920659128
55,61,51,2,49,31,9,40,31,0.920693946
56,63,51,2,49,31,11,38,31,0.92076599
57,65,51,2,49,31,10,39,33,0.920969995
58,68,50,2,48,32,11,37,34,0.920848517
59,70,50,2,48,32,10,38,35,0.920929878
60,71,51,2,49,31,7,42,37,0.920921463
61,73,51,2,49,31,7,42,41,0.920683164
62,74,52,2,50,30,8,42,44,0.920685561
63,75,53,2,51,29,7,44,44,0.920742891
64,75,55,2,53,27,6,47,46,0.920725084
65,83,49,2,47,33,8,39,46,0.920612363
66,83,51,2,49,31,6,43,47,0.920794201
67,86,50,2,48,32,8,40,48,0.920612012
68,91,47,2,45,35,8,37,49,0.92077831
69,94,46,2,44,36,9,35,52,0.920784384
70,96,46,2,44,36,10,34,52,0.92091099
71,96,48,2,46,34,11,35,53,0.920957495
72,96,50,2,48,32,11,37,54,0.920934526
73,96,52,2,50,30,8,42,55,0.920971167
74,97,53,2,51,29,8,43,55,0.920694616
75,97,55,2,53,27,8,45,55,0.920731839
76,101,53,2,51,29,7,44,55,0.920647602
